masterid,stationcode,stationname,latitude,longitude,huc,smcshed,smc_lu,comid,class_do,sampledate,replicate,csci,count,pcnt_ambiguous_individuals,pcnt_ambiguous_taxa,ASCI_D,ASCI_H
SMC01684,SMC01684,,34.27906,-118.91591,408,Calleguas,Agricultural,17563890,Hard bottom,2009-06-03T07:00:00Z,1,0.33039193,604,3.14569536,9.09090909,0.977350820025371,0.900618330011843
SMC01726,SMC01726,,33.86351,-117.98816,845,San Gabriel,Urban,22525751,Hard bottom,2019-06-06T07:00:00Z,1,0.41975936,680,6.32352941,5.26315789,0.503146049792524,0.376165009462145
SMC01726,SMC01726,,33.86351,-117.98816,845,San Gabriel,Urban,22525751,Hard bottom,2010-06-30T07:00:00Z,1,0.58888554,600,7.66666667,13.88888889,0.986732644325043,0.924830744276926
SMC01982,SMC01982,"Milan Creek, Imperial Hwy",33.91694,-118.03836,405,San Gabriel,Urban,22524963,Hard bottom,2013-06-25T07:00:00Z,1,0.43019829,599,0,0,NA,NA
SMC01982,SMC01982,"Milan Creek, Imperial Hwy",33.91694,-118.03836,405,San Gabriel,Urban,22524963,Hard bottom,2020-07-23T07:00:00Z,1,0.30908331,598,0,0,1.0365927584721,0.970692439306562
SMC02006,SMC02006,,32.83083,-116.98486,907,Mission Bay and San Diego River,Urban,20333004,Hard bottom,2009-05-26T07:00:00Z,1,0.44809955,657,0,0,0.971510147614328,0.915151551617219
SMC02232,SMC02232,Limekiln Canyon Wash,34.23241,-118.5524,412,Los Angeles,Urban,22514716,Hard bottom,2013-06-03T07:00:00Z,1,0.24836081,603,0.33167496,25,0.738576064137985,0.900647436959249
SMC02484,SMC02484,Central Branch Tujunga Wash,34.1451,-118.36764,412,Los Angeles,Urban,22514964,Hard bottom,2013-06-05T07:00:00Z,1,0.52381206,628,0.79617834,5.55555556,0.964249608624566,0.935992153728288
SMC02484,SMC02484,Central Branch Tujunga Wash,34.1451,-118.36764,412,Los Angeles,Urban,22514964,Hard bottom,2013-06-05T07:00:00Z,2,0.63798476,589,0,0,1.05579862244316,0.965783313759314
SMC02988,SMC02988,,34.16168,-117.99022,412,Los Angeles,Urban,22517996,Hard bottom,2014-06-12T07:00:00Z,1,0.63992114,606,0.66006601,8,0.831798203746929,0.813840985230612
SMC02988,SMC02988,,34.16168,-117.99022,412,Los Angeles,Urban,22517996,Hard bottom,2014-06-12T07:00:00Z,2,0.73685421,581,0,0,0.892968044242221,0.973323512931392
SMC03737,SMC03737,,33.11968,-117.09259,904,Central San Diego,Urban,20342575,Hard bottom,2012-07-06T07:00:00Z,1,0.51451461,630,0.31746032,6.25,0.984049223507072,0.978581978140035
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2015-05-13T07:00:00Z,1,0.50605819,427,0.93676815,5.55555556,0.796694830905875,0.925669495491523
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2016-05-24T07:00:00Z,1,0.586268,688,0.14534884,4.16666667,0.682467898786703,0.73329715468253
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2016-05-24T07:00:00Z,1,0.586268,688,0.14534884,4.16666667,0.682467898786703,0.73329715468253
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2017-05-30T07:00:00Z,1,0.63025674,637,0.31397174,11.76470588,0.787968932782264,0.782820039997985
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2018-06-05T07:00:00Z,1,0.38789134,641,1.5600624,9.09090909,0.638568319927756,0.631528765673171
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2020-06-10T07:00:00Z,1,0.53063418,622,0.48231511,12,0.71208304614515,0.668303182712206
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2019-06-19T07:00:00Z,1,0.3348117,615,0.16260163,5.55555556,NA,NA
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2009-06-29T07:00:00Z,1,0.5497429,641,0,0,0.556017103268892,0.637513740828445
SMC11581,SMC11581,,33.95246,-117.60611,801,Middle Santa Ana,Agricultural,22563070,Hard bottom,2009-06-29T07:00:00Z,2,0.55160956,659,0,0,0.559043190659817,0.65730383913558
SMC12862,SMC12862,,33.92148,-118.11149,405,San Gabriel,Urban,22525157,Hard bottom,2011-06-27T07:00:00Z,1,0.38165056,593,1.51770658,7.14285714,0.802260999624625,0.875023344906706
SMC12862,SMC12862,,33.92148,-118.11149,405,San Gabriel,Urban,22525157,Hard bottom,2019-07-22T07:00:00Z,1,0.36300795,667,1.1994003,16.66666667,0.320676196117416,0.424998801911139
SMC13062,SMC13062,Tecolote Creek,32.7755,-117.19557,906,Mission Bay and San Diego River,Urban,20331504,Hard bottom,2013-07-23T07:00:00Z,1,0.54252456,527,0.37950664,5,1.046310384728,1.05657575608452
SMC16832,SMC16832,,33.88444,-118.10855,405,San Gabriel,Urban,22525157,Hard bottom,2010-06-18T07:00:00Z,1,0.4557381,537,40.03724395,7.69230769,0.79506089014862,0.909716080743001
SMC16832,SMC16832,,33.88444,-118.10855,405,San Gabriel,Urban,22525157,Hard bottom,2010-06-18T07:00:00Z,2,0.3065185,575,13.73913043,21.42857143,0.758092248540244,0.890997232516625
SMC16832,SMC16832,,33.88444,-118.10855,405,San Gabriel,Urban,22525157,Hard bottom,2018-07-10T07:00:00Z,1,0.30514122,604,0,0,0.40209304258379,0.57852177043307
801RB8601,SMCR8_601,,34.02789,-117.58527,801,Middle Santa Ana,Urban,22558000,Hard bottom,NA,NA,NA,NA,NA,NA,NA,NA
